QUICK,MERGE,COUNTING
16061,13278,4957
15384,13258,5185
16180,13233,4934
15648,13456,4928
15544,13287,4908
15516,13326,4960
16102,13366,4977
15451,13407,4983
16310,13327,4982
15635,13514,5128
15643,13359,5006
15401,13392,4921
16634,13298,4972
15324,13322,4937
15389,13124,4944
15780,13554,4968
15383,13361,4911
15947,13178,5016
15353,13315,5309
16224,13233,5014
15406,13090,5017
15869,13186,4919
16048,13386,4927
15852,13185,4945
15384,13223,4929
15569,13338,5050
15975,13459,5224
15678,13251,4987
15441,13326,4930
15432,13170,4993
